,restaurant_name,restaurant_url,avg_review_score,reviews,type_of_cuisine,street,zip_code,city
21,Nampan Restaurant,https://www.lieferando.de/en/menu/nampan-restaurant,4.5,203,"Sushi, Vietnamese, Japanese",Oranienburger Straße 66,10117,Berlin
22,Dunkin' Donuts,https://www.lieferando.de/en/menu/dunkin-donuts-berlin-europaplatz,4.0,42,"Cake, Desserts",Europaplatz 1,10557,Berlin
23,Funa Sushi,https://www.lieferando.de/en/menu/funa-sushi-berlin-moabit,4.5,8260,"Sushi, Salads",Alt-Moabit 73a,10555,Berlin
24,"Fitery - Healthy, Fitness & Sport Food",https://www.lieferando.de/en/menu/fitery,4.5,111,"Vegetarian, Vegan, Gluten-free",Gleimstraße 27,10437,Berlin
25,Dunkin' Donuts,https://www.lieferando.de/en/menu/dunkin-donuts-berlin-alexanderplatz,4.0,80,"Cake, Desserts, Café",Alexanderplatz 16,10178,Berlin
26,Dunkin' Donuts,https://www.lieferando.de/en/menu/dunkin-donuts-berlin-bahnhof-friedrichstrasse,4.0,30,"Cake, Desserts",Friedrichstraße -,10117,Berlin
27,Sushi City,https://www.lieferando.de/en/menu/sushi-city-berlin-nollendorfstrasse,4.5,961,"Sushi, Asian, Poke bowl",Nollendorfstraße 26,10777,Berlin
28,Sushi Yana,https://www.lieferando.de/en/menu/sushi-yana-moabit,4.0,3712,"Sushi, Asian, Poke bowl",Waldstraße 1,10551,Berlin
29,Soul Sushi,https://www.lieferando.de/en/menu/soul-sushi-berlin,4.5,103,"Sushi, Japanese, Asian",Oranienburger Straße 52,10117,Berlin
30,Bombay Berlin,https://www.lieferando.de/en/menu/bombay,4.0,59,"Indian, Vegetarian, Chicken",Friedrichstraße 106 c,10117,Berlin
31,Mauer Kebab,https://www.lieferando.de/en/menu/mauer-kebab,4.0,9,"Vegetarian, Burgers, Döner",Eberswalder Straße 4,10437,Berlin
32,Casalot Restaurant,https://www.lieferando.de/en/menu/casalot-restaurant,5.0,298,"Vegetarian, Lebanese, Arab",Claire-Waldoff-Straße 5,10117,Berlin
33,Dunkin' Donuts,https://www.lieferando.de/en/menu/dunkin-donuts-berlin-potsdamer-strasse,3.5,59,"Cake, Desserts",Potsdamer Straße 2,10785,Berlin
34,Ristorante Porta Nova,https://www.lieferando.de/en/menu/ristorante-porta-nova,3.5,58,"Italian style pizza, Vegetarian, Pasta",Robert-Koch-Platz 12,10115,Berlin
35,Hoa Nam Asia Wok-Sushi Bar,https://www.lieferando.de/en/menu/hoa-nam-asia-wok-sushi-bar-10559,4.5,2692,"Sushi, Vegetarian, Asian",Wilsnacker Str. 22,10559,Berlin
36,Dunkin' Donuts,https://www.lieferando.de/en/menu/dunkin-donuts-berlin-rathausstrasse,3.5,72,"Cake, Desserts",Rathausstraße 5,10178,Berlin
37,Safran Berlin,https://www.lieferando.de/en/menu/safran,4.5,15464,Indian,Brüsseler Straße 17,13353,Berlin
38,Krishna - Indisches & Nepalesisches Restaurant,https://www.lieferando.de/en/menu/krishna-indisches-restaurant,4.5,2752,"Indian, Lunch, Salads",Danziger Str. 20,10405,Berlin
39,Taj India Haus,https://www.lieferando.de/en/menu/taj-india-haus,4.5,1182,"Indian, Italian style pizza, Vegetarian",Stuttgarter Platz 16,10627,Berlin
40,Chupenga Burritos & Salads,https://www.lieferando.de/en/menu/chupenga-burritos-salads,4.0,246,"Mexican, Lunch, Salads",Mohrenstraße 42,10117,Berlin
41,Escendo Pizzeria,https://www.lieferando.de/en/menu/escendo-pizzeria,4.5,441,"Italian, Italian style pizza, Pasta",Gleimstraße 21,10437,Berlin
42,Babo Sushi,https://www.lieferando.de/en/menu/babo-sushi-berlin-friedrichshain,4.5,5204,"Sushi, Asian, Poke bowl",Warschauer Str. 61,10243,Berlin
43,Dildaar Indische Spezialitäten,https://www.lieferando.de/en/menu/dildaar,4.5,6520,"Indian, Lunch, Curry",Landsberger Allee 171,10369,Berlin
44,Khatmandu Indisch und Nepalesisch Lieferservice,https://www.lieferando.de/en/menu/khatmandu,4.5,1461,"Indian, Vegan, Asian",Wegener Strasse 1,13088,Berlin
45,Falafelo Berlin,https://www.lieferando.de/en/menu/falafelo-berlin,4.0,216,"100% Halal, Arab, Falafel",Mehringdamm 25,10961,Berlin
46,Call a Pizza,https://www.lieferando.de/en/menu/call-a-pizza-berlin-mohrenstr,4.5,9712,"Italian style pizza, Burgers, Pasta",Mohrenstr. 67-69,10117,Berlin
47,Ajwa Restaurant,https://www.lieferando.de/en/menu/ajwa-restaurant,5.0,1112,"Indian, 100% Halal, Pakistani",Bochumer Straße 5 rechts,10555,Berlin
48,HOA SUSHI,https://www.lieferando.de/en/menu/sushi-west-by-hoa,4.5,965,"Sushi, Soups, Asian",Turmstraße 53,10551,Berlin
49,HaiCoffee & Asian Food and Sushi,https://www.lieferando.de/en/menu/haicoffeeasianfood,4.5,69,"Vietnamese, Asian",Wallstraße 1-2,10179,Berlin
50,First GrillHaus,https://www.lieferando.de/en/menu/first-grillhaus-13347,5.0,429,"Italian style pizza, Döner, Pasta",Reinickendorfer Straße 70,13347,Berlin
51,fastVegan by Levo & Lori,https://www.lieferando.de/en/menu/fastvegan-by-levo-lori,4.0,147,"Italian style pizza, Vegetarian, Pasta",Martin-Luther-Straße 41,10779,Berlin
52,Ossaka Sushi,https://www.lieferando.de/en/menu/ossaka-sushi,5.0,5674,"Sushi, Thai, Asian",Beusselstraße 72,10553,Berlin
53,Akito Sushi Bar,https://www.lieferando.de/en/menu/akito,4.5,6,"Sushi, Asian, Poke bowl",Reinhardtstraße 6,10117,Berlin
54,La Piazza,https://www.lieferando.de/en/menu/la-piazza-berlin-2,4.5,569,"Italian style pizza, Soups, Noodles",Zehdenicker Straße 20,10119,Berlin
55,Taj Mahal Haus 3,https://www.lieferando.de/en/menu/taj-mahal-haus-3,4.5,1032,"Indian, Italian style pizza, Curry",Hauptstraße 54,10827,Berlin
56,Pizza Coach,https://www.lieferando.de/en/menu/pizza-coach-prenzlauerberg-berlin,4.5,14304,"Italian, American style pizza, Burgers",Erich-Weinert-Str. 14,10439,Berlin
57,Curry Mitte,https://www.lieferando.de/en/menu/curry-mitte,4.5,64,"German, Vegan, Fries",Torstraße 122,10119,Berlin
58,Marea,https://www.lieferando.de/en/menu/marea,4.0,20,"Italian, Italian style pizza",Leipziger Platz 10,10117,Berlin
59,iiu - Asian Fusion Food,https://www.lieferando.de/en/menu/iiu-berlin,4.5,5453,"Sushi, Vietnamese, Asian",Oranienstr. 10-11,10997,Berlin
60,La Gino,https://www.lieferando.de/en/menu/la-gino-berlin-1,5.0,847,"Italian, Italian style pizza, Flammkuchen",Rudi-Dutschke-Straße 20,10969,Berlin
61,Ariston Taverna Hellas,https://www.lieferando.de/en/menu/taverna-hellas-1,4.5,8893,"Greek, Steaks, Gyros",Markstr. 20,13409,Berlin
62,Kenko Sushi,https://www.lieferando.de/en/menu/kenko-sushi-schoenhauser-allee,4.5,712,"Sushi, Fish, Asian",Schönhauser Allee 163,10435,Berlin
63,Indda,https://www.lieferando.de/en/menu/indda-indische-spezialitaeten-berlin,5.0,3021,"Indian, Chicken",Wollankstr. 118,13187,Berlin
64,Punjabi Tarka - Indischer Lieferservice,https://www.lieferando.de/en/menu/punjabi-tarka-indischer-lieferservice-berlin,4.0,4782,"Indian, Vegetarian, Vegan",Danziger Str. 20,10435,Berlin
65,Oishinbo Izakaya,https://www.lieferando.de/en/menu/oshinbo-izakaya,4.0,228,"Sushi, Japanese",Lychener Straße 46,10437,Berlin
66,Saiko Sushi,https://www.lieferando.de/en/menu/saiko-sushi-bornholmer-strasse,4.5,1709,"Sushi, Asian",Bornholmer Straße 5,10439,Berlin
67,BurgerVision,https://www.lieferando.de/en/menu/burger-vision,4.0,4135,"American, Burgers, Drinks/Snacks",Torstraße 128,10119,Berlin
68,Pizza Kartell,https://www.lieferando.de/en/menu/pizza-kartel,4.5,742,"Italian style pizza, Burgers, Pasta",Fidicinstraße 43,10965,Berlin
69,Pizzeria Mini Perle,https://www.lieferando.de/en/menu/pizzeria-mini-perle,4.0,908,"Italian, Snacks, American",Perleberger Str. 53,10559,Berlin
70,Nymami,https://www.lieferando.de/en/menu/nymami,5.0,711,"Vietnamese, Vegan, Asian",Danziger Straße 43,10435,Berlin
71,Pizza Noi,https://www.lieferando.de/en/menu/pizza-noi-10785,4.0,2154,"Italian style pizza, Burgers, Pasta",Potsdamer Straße 112,10785,Berlin
72,Cowei Berlin,https://www.lieferando.de/en/menu/cowei-berlin-berlin,4.5,283,"Sushi, Vietnamese, Asian",James-Simon-Park 152,10178,Berlin
73,Dana Pani Indische Spezialitäten,https://www.lieferando.de/en/menu/dana-pani-indische-spezialitaeten-britzer-damm,4.5,3920,"Indian, Lunch, Curry",Britzer Damm 125,12347,Berlin
74,Burger Stop Pizza,https://www.lieferando.de/en/menu/burger-stop-pizza,4.0,207,"Italian style pizza, Vegetarian, Burgers",Danzigerstrasse 125,10407,Berlin
75,Papa No,https://www.lieferando.de/en/menu/papa-no-berlin-prenzlauer-berg,4.5,6425,"Sushi, Vegan, Asian",Danziger Straße 11,10435,Berlin
76,Chainone,https://www.lieferando.de/en/menu/chainone,4.0,75,"Italian style pizza, Burgers, Pasta",Gotzkowskystraße 24,10555,Berlin
77,dean & david,https://www.lieferando.de/en/menu/dean-david-berlin-schoenhauser-allee,4.5,985,"Vegetarian, Vegan, Salads",Schönhauser Allee 80,10439,Berlin
78,Smile,https://www.lieferando.de/en/menu/smile,4.5,760,"Thai, Curry, Asian",Alt-Moabit 112,10559,Berlin
79,Bergmann Burger by BeefMan,https://www.lieferando.de/en/menu/bergmann-burger-by-beefman,4.5,435,"American, Burgers, Wraps",Bergmannstraße 112,10961,Berlin
80,Chibee - Korean Chicken & Beer,https://www.lieferando.de/en/menu/chibee,4.0,1595,"Chicken, Korean, Asian",Tegelerstraße 29A,13353,Berlin
81,Vadoli Pizza Berlin Mitte,https://www.lieferando.de/en/menu/vadoli-pizza-berlin-mitte,4.5,3636,"Italian, Italian style pizza, Salads",Oranienburger Strasse 13-14,10178,Berlin
82,Rocca Pizza & Pasta,https://www.lieferando.de/en/menu/rocca-pizza-pasta-gleimstrasse,4.5,1823,"Italian style pizza, Salads, Pasta",Gleimstr. 11,10437,Berlin
83,Apna Virsa,https://www.lieferando.de/en/menu/apna-virsa,4.5,84,"Indian, Chicken, Soups",Gustav-Müller-Straße 1,10829,Berlin
84,Xigon 1987,https://www.lieferando.de/en/menu/xigon-1987,4.5,301,"Sushi, Vietnamese, Asian",Nürnberger Straße 46,10789,Berlin
85,Aki Tatsu,https://www.lieferando.de/en/menu/aki-tatsu-1,4.5,213,"Sushi, Vietnamese, Asian",Torstraße 176,10115,Berlin
86,Call to Eat,https://www.lieferando.de/en/menu/call-to-eat-berlin-1,4.5,2497,"Italian style pizza, Burgers, Pasta",Sickingenstrasse 56,10553,Berlin
87,Mizyan Restaurant,https://www.lieferando.de/en/menu/mizyan-restaurant,4.5,1191,"Chicken, Vegan, Falafel",Gustav-Adolf-Straße 145 -146,13086,Berlin
88,Sadhu 3,https://www.lieferando.de/en/menu/sadhu-3,4.5,341,"Indian, Pakistani",Stargarder Straße 60,10437,Berlin
89,Core - Korean Cuisine,https://www.lieferando.de/en/menu/core-korean-cuisine,5.0,155,"Korean, Asian",Pappelallee 84,10437,Berlin
90,Burger Dreams,https://www.lieferando.de/en/menu/burger-dreams,4.5,919,"Burgers, 100% Halal, Vegan",Ritterlandweg 59,13409,Berlin
91,Pizza De Lux Berlin,https://www.lieferando.de/en/menu/pizza-de-lux-berlin-3,4.5,177,"Italian style pizza, Salads, Pasta",Luxemburgerstraße 32,13353,Berlin
92,Sushi For You,https://www.lieferando.de/en/menu/sushi-for-you-berlin-wedding,4.5,250,"Sushi, Japanese, Asian",Brüsseler Straße 52a,13353,Berlin
93,House of Do An,https://www.lieferando.de/en/menu/house-of-do-an,5.0,183,"Vietnamese, Vegetarian, Vegan",Hufelandstraße 20,10407,Berlin
94,90's Burger,https://www.lieferando.de/en/menu/90s-burger,4.5,993,"Snacks, Burgers",Alt Moabit 40,10555,Berlin
95,Toast & Hot Dog by Yale,https://www.lieferando.de/en/menu/by-yale,3.5,231,"Snacks, Burgers, Hot dog",Badstraße 57,13357,Berlin
96,AMRIT - Berlin Mitte,https://www.lieferando.de/en/menu/amrit-berlin-mitte,4.5,1916,"Indian, Vegetarian, Vegan",Oranienburger Straße 45,10117,Berlin
97,Cat Tuong,https://www.lieferando.de/en/menu/cat-tuong-kastanienallee,4.5,596,"Vietnamese, Vegan, Asian",Kastanienallee 89,10435,Berlin
98,Butt's Spicy Kitchen Indian Cuisine (Halal),https://www.lieferando.de/en/menu/buttspicy,4.5,1575,"Indian, Curry, 100% Halal",Föhrer Straße - rechts 10,13353,Berlin
99,City Chicken 1,https://www.lieferando.de/en/menu/city-chicken-10553,4.5,538,"Chicken, Burgers, Sandwiches",Huttenstraße 71,10553,Berlin
100,Minty's Fresh Food Bar,https://www.lieferando.de/en/menu/bistro-mintis,4.5,7,"Lunch, Drinks/Snacks, Salads",Torstraße 178,10115,Berlin
101,immergrün,https://www.lieferando.de/en/menu/immergruen-berlin-schoenhauser-allee,5.0,308,"Vegan, Wraps, Poke bowl",Schönhauser Allee 80,10439,Berlin
102,Asia Food Tuan Linh,https://www.lieferando.de/en/menu/asia-food-tuan-linh,4.5,735,"Chinese, Sushi, Asian",Brunnenstraße / Kaufland 105-109,13355,Berlin
103,Pizza Max,https://www.lieferando.de/en/menu/pizza-max-berlin-winsstr,4.5,169,"Italian style pizza, Burgers, Pasta",Winsstraße 1,10405,Berlin
104,Berlin Burrito,https://www.lieferando.de/en/menu/berlin-burrito-berlin-kastanienalle,4.0,2377,"Mexican, Vegetarian, Wraps",Kastanienallee 59,10119,Berlin
105,Caphe HOA,https://www.lieferando.de/en/menu/caphe-hoa,5.0,227,"Vegetarian, Vegan, Asian",Stallschreiberstraße 15 /0102,10179,Berlin
106,Pizza e Pasta 2,https://www.lieferando.de/en/menu/pizza-e-pasta-2,4.0,375,"Italian style pizza, Burgers, Pasta",Alt Moabit 87,10559,Berlin
107,Rosario Steakhaus & Pizzeria,https://www.lieferando.de/en/menu/rosario-steakhaus-berlin,4.0,9104,"Italian, Italian style pizza, Steaks",Gotzkowskystr. 35,10555,Berlin
108,Akito Sushi Express,https://www.lieferando.de/en/menu/akito-sushi-express,4.0,14,"Sushi, Vegan",Chausseestraße 116,10115,Berlin
109,Mix & Match,https://www.lieferando.de/en/menu/mix-match,5.0,489,"Turkish, Vegan, Wraps",Markgrafenstrasse 56,10117,Berlin
110,Mayflower,https://www.lieferando.de/en/menu/mayflower-1,4.5,597,"Chinese, Vegetarian, Asian",Greifenhagener Straße 27,10437,Berlin
111,Eden - Vietnamesisches Restaurant,https://www.lieferando.de/en/menu/eden-vietnamesisches-restaurant,4.5,43,"Vietnamese, Vegan, Asian",Rosenstraße 19,10178,Berlin
112,Moccachino,https://www.lieferando.de/en/menu/moccachino-berlin,4.5,195,"Italian style pizza, Salads, Flammkuchen",Müllerstraße 44-45,13349,Berlin
113,WORLD OF PIZZA,https://www.lieferando.de/en/menu/world-of-pizza-berlin-prenzlauer-berg,4.5,186,"Italian style pizza, Burgers, Gluten-free",Ella-Kay-Str. 2a,10405,Berlin
114,Willis Restaurant,https://www.lieferando.de/en/menu/willis-restaurant,4.5,1212,"Vietnamese, Vegetarian, Asian",Wisbyer Straße 4,10439,Berlin
115,Asuka Sushi,https://www.lieferando.de/en/menu/asuka-sushi,4.5,4429,"Sushi, Vegetarian, Japanese",Gleimstr. 27,10437,Berlin
116,Burgerzimmer,https://www.lieferando.de/en/menu/burgerzimmer-vi-1,4.0,854,"Vegetarian, Burgers, 100% Halal",Danziger Str. 63,10435,Berlin
117,Crispy's Chicken,https://www.lieferando.de/en/menu/crispys-chicken-10827,4.5,600,"Chicken, American, Burgers",Hauptstraße 149,10827,Berlin
118,DALUMA Weinbergsweg,https://www.lieferando.de/en/menu/daluma-1,4.0,289,"Vegetarian, Salads, Gluten-free",Weinbergsweg 3,10119,Berlin
119,Happy Buddha,https://www.lieferando.de/en/menu/happy-buddha-berlin,4.5,89,"Indian, Desserts, Salads",Schlegelstr. 22,10115,Berlin
120,Reisfreude,https://www.lieferando.de/en/menu/reisfreude,5.0,138,"Italian, Vegetarian, Salads",Brückenstraße 1c,10179,Berlin
121,Hako Prenzlauerberg,https://www.lieferando.de/en/menu/hako-prenzlauerberg,5.0,3,"Vegetarian, Japanese, Soups",Kastanienallee 16/17,10435,Berlin
122,Chef's - by Butterbrot,https://www.lieferando.de/en/menu/chefs-by-butterbrot,5.0,29,"Chicken, Vegan, Pasta",Weinbergsweg 5 (links),10119,Berlin
123,Rausch Schokoladenhaus (Café),https://www.lieferando.de/en/menu/rausch-schokoladenhaus-cafe,5.0,22,"Cake, Desserts, Café",Mohrenstr. 20,10117,Berlin
124,The Small Garden,https://www.lieferando.de/en/menu/the-small-garden,5.0,10,"Vegetarian, Desserts, Salads",Charlottenstraße 79-80,10117,Berlin
125,Asian fine food,https://www.lieferando.de/en/menu/asian-fine-food,5.0,3,"Sushi, Asian, Poke bowl",Torstraße 132,10119,Berlin
126,Tasty India,https://www.lieferando.de/en/menu/tasty-india-10405,4.0,319,"Indian, Curry, Asian",Metzer Straße 21,10405,Berlin
127,Vegan Tiger,https://www.lieferando.de/en/menu/vegan-tiger-berlin,5.0,18,"Bio, Vegan, Gluten-free",Lettestraße 5,10437,Berlin
128,häppies,https://www.lieferando.de/en/menu/haeppies,5.0,172,"Vegetarian, Vegan, Dumplings",Dunckerstraße 85,10437,Berlin
129,geh Veg,https://www.lieferando.de/en/menu/veg-room,5.0,93,"Burgers, Vegan, Wraps",Triftstraße 37,13353,Berlin
130,BEN RAHIM,https://www.lieferando.de/en/menu/ben-rahim,5.0,5,"Snacks, Sandwiches, Desserts",Sophienstraße 7,10178,Berlin
131,Mangiare and Go,https://www.lieferando.de/en/menu/mangiare-and-go,5.0,18,"Italian, Pasta, Noodles",Rykestraße 11,10405,Berlin
132,Eispatisserie Hokey Pokey,https://www.lieferando.de/en/menu/eispatisserie-hokey-pokey-torstr,5.0,22,Ice cream,Torstraße 141,10119,Berlin
133,KUCHI Mitte,https://www.lieferando.de/en/menu/kuchi-mitte,4.0,842,"Sushi, Salads, Asian",Gipsstr. 3,10119,not found
134,Burger World Berlin,https://www.lieferando.de/en/menu/burger-world-berlin,4.0,316,"Vegetarian, Burgers, Vegan",Oderbergerstrasse 16,10435,Berlin
135,Star of India Lieferservice,https://www.lieferando.de/en/menu/star-of-india-lieferservice-berlin-neukoelln,4.0,2301,"Chinese, Indian, Chicken",Glasower Straße 52,12051,Berlin
136,Harika Liferservice,https://www.lieferando.de/en/menu/harika-liferservice,4.5,564,"Turkish, Döner, Falafel",Osloer Straße 84,13359,Berlin
137,Da Giorgio,https://www.lieferando.de/en/menu/da-giorgio-berlin-1,4.0,4071,"Italian style pizza, Steaks, Burgers",Uhlandstr. 153,10719,Berlin
138,Burgerzimmer,https://www.lieferando.de/en/menu/burgerzimmer-berlin-pankstrasse,4.0,1780,"Vegetarian, Burgers, 100% Halal",Pankstr. 26,13357,Berlin
139,Papi Imbiss,https://www.lieferando.de/en/menu/papi-imbiss,4.5,437,"Italian, Italian style pizza, Pasta",Müllerstraße 47A,13349,Berlin
140,Rolls Asian Street Food,https://www.lieferando.de/en/menu/rolls,4.5,39,"Vegan, Asian, Poke bowl",Prenzlauer Allee 176,10409,Berlin
141,Call a Pizza,https://www.lieferando.de/en/menu/call-a-pizza-berlin-wedding,4.0,4111,"Italian style pizza, Burgers, Pasta",Reinickendorfer Straße 48,13347,Berlin
142,Chelany - Mitte,https://www.lieferando.de/en/menu/chelany-mitte,4.0,383,"Indian, Vegan, Pakistani",Torstraße 221,10115,Berlin
143,Yesil Firin Holzofen Grill Restaurant,https://www.lieferando.de/en/menu/yf-kebaphaus,4.5,338,"Turkish, Italian style pizza, Döner",Badstrasse 15,13357,Berlin
144,Carambar,https://www.lieferando.de/en/menu/carambar,3.5,5,"Steaks, Burgers, Pasta",Rathausstraße 1,10178,Berlin
145,Bookmyholiday Reisecafe,https://www.lieferando.de/en/menu/bookmyholiday,4.5,11,"Cake, Lunch, Drinks/Snacks",Schönhauser Allee 105,10439,Berlin
146,Schnitzelkönig,https://www.lieferando.de/en/menu/schnitzelkoenig-greifswalder-strasse,4.5,344,"German, Salads, Schnitzel",Greifswalder Straße 50,10405,Berlin
147,Rosenburger Berlin,https://www.lieferando.de/en/menu/rosenburger-berlin,4.5,644,"Snacks, American, Burgers",Brunnenstraße 196,10119,Berlin
148,NORDSEE,https://www.lieferando.de/en/menu/nordsee-berlin-schoenhauser-allee,4.5,353,"Fish, Burgers, Pasta",Schönhauser Allee 80,10439,Berlin
149,China - City,https://www.lieferando.de/en/menu/china-city-berlin-1,4.5,577,"Chinese, Vegetarian, Asian",Leipziger Straße 46,10117,Berlin
150,Vincent Vegan IV,https://www.lieferando.de/en/menu/vincent-vegan-iv,4.5,192,"Burgers, Vegan, Fries",Schönhauser Allee 79,10439,Berlin
151,WILD & RAW Poké Bowls,https://www.lieferando.de/en/menu/wild-raw,4.5,536,"Vegetarian, Salads, Poke bowl",Weinbergsweg 5,10119,Berlin
152,The Orient House,https://www.lieferando.de/en/menu/the-orient-house,4.5,196,"100% Halal, Arab, Falafel",Moritzstraße 5,13597,Berlin
153,Pizza Dundun,https://www.lieferando.de/en/menu/pizzeria-dun-dun-berlin,4.5,5555,"Italian, Greek, Italian style pizza",Triftstr. 1,13353,Berlin
154,Der Fischladen Schönhauser Allee,https://www.lieferando.de/en/menu/der-fischladen,4.5,304,"Fish, Seafood, Pasta",Schönhauser Allee 128,10437,Berlin
155,El-Rief Orientalische - Arabische Küche,https://www.lieferando.de/en/menu/el-rief-orientalische-arabische-kueche,4.5,811,"Sandwiches, Arab, Falafel",Schönhauser Allee 46a,10437,Berlin
156,Falafel Al Amin,https://www.lieferando.de/en/menu/falafel-al-amin,4.5,181,"100% Halal, Vegan, Arab",Triftstrasse 6,13353,Berlin
157,Köylüoglu Restaurant,https://www.lieferando.de/en/menu/koeylueoglu-restaurant-berlin,4.5,126,"Italian, Turkish, Mexican",Prinzenallee 18,13357,Berlin
158,Houdini,https://www.lieferando.de/en/menu/houdini,4.5,545,"Indian, Vegetarian, Chicken",Lychener Straße 35,10437,Berlin
159,"Tien Linh Khang Restaurant, Lieferservice & Events",https://www.lieferando.de/en/menu/tien-linh-khang-restaurant-lieferservice-events,4.5,376,"Sushi, Vietnamese, Asian",Pankstraße 42,13357,Berlin
160,Yöre Gözleme Ve Manti Evi,https://www.lieferando.de/en/menu/yoere-goezleme-ve-manti-evi,4.5,265,"Turkish, Desserts, Pasta",Prinzenallee 7,13357,Berlin
161,Sumo Sushi,https://www.lieferando.de/en/menu/sumo-sushi,4.5,3044,"Sushi, Japanese, Asian",Kastanienallee 24,10435,Berlin
162,Red Dragon Lieferservice,https://www.lieferando.de/en/menu/red-dragon-lieferservice-danzigerstr,4.5,7029,"Chinese, Thai, Vietnamese",Danziger Str. 29,10435,Berlin
163,Wrapublic - Schönhauser Allee,https://www.lieferando.de/en/menu/wrapublic-schoenhauser-allee,4.5,55,"100% Halal, Vegan, Wraps",Schönhauser Allee 80,10439,Berlin
164,Lovely Sushi,https://www.lieferando.de/en/menu/lovely-sushi-1,4.5,1091,"Sushi, Salads, Asian",Anton-Saefkow-Platz 4,10369,Berlin
165,Royals & Rice,https://www.lieferando.de/en/menu/royals-rice,4.5,504,"Sushi, Vietnamese, Asian",Torstr. 164,10115,Berlin
166,Restaurant Al Hamra,https://www.lieferando.de/en/menu/restaurant-al-hamra,4.5,1617,"Falafel, Wraps, Salads",Raumerstraße 16,10437,Berlin
167,Yumcha Heroes,https://www.lieferando.de/en/menu/yumcha-heroes-new-owner,4.5,631,"Chinese, Dumplings, Asian",Weinbergsweg 8,10119,Berlin
168,Mami Restaurant,https://www.lieferando.de/en/menu/mami-restaurant,4.5,876,"Thai, Vietnamese, Vegetarian",Erich-Weinert-Straße 1,10439,Berlin
169,Tor Kebab,https://www.lieferando.de/en/menu/tor-kebab-torstrasse,4.5,542,"Turkish pizza, Döner, Falafel",Torstraße 129,10119,Berlin
